game_id,date,away_name,away_id,away_score,home_name,home_id,home_score,inserted
748191,2024-02-28,Cardinals,138,0,Mets,121,3,2024-03-07 15:20:54
748193,2024-02-28,Astros,117,6,Marlins,146,1,2024-03-07 15:20:54
748188,2024-02-28,D-backs,109,8,Guardians,114,6,2024-03-07 15:20:54
748183,2024-02-28,Giants,137,4,Athletics,133,7,2024-03-07 15:20:54
748184,2024-02-28,Dodgers,119,4,Rangers,140,6,2024-03-07 15:20:54
748185,2024-02-28,Padres,135,3,White Sox,145,1,2024-03-07 15:20:54
748190,2024-02-28,Angels,108,1,Rockies,115,3,2024-03-07 15:20:54
748186,2024-02-28,Royals,118,9,Mariners,136,7,2024-03-07 15:20:54
748187,2024-02-28,Cubs,112,6,Brewers,158,1,2024-03-07 15:20:54
748182,2024-02-29,Tigers,116,2,Red Sox,111,5,2024-03-07 15:20:54
748179,2024-02-29,Pirates,134,8,Orioles,110,9,2024-03-07 15:20:54
748180,2024-02-29,Nationals,120,3,Cardinals,138,1,2024-03-07 15:20:54
748175,2024-02-29,Braves,144,12,Rays,139,9,2024-03-07 15:20:54
748178,2024-02-29,Twins,142,0,Braves,144,5,2024-03-07 15:20:54
748176,2024-02-29,Phillies,143,5,Blue Jays,141,0,2024-03-07 15:20:54
748174,2024-02-29,Rockies,115,10,Cubs,112,9,2024-03-07 15:20:54
748169,2024-02-29,Padres,135,5,Athletics,133,3,2024-03-07 15:20:54
748172,2024-02-29,Royals,118,1,White Sox,145,6,2024-03-07 15:20:54
748167,2024-02-29,Brewers,158,5,Rangers,140,7,2024-03-07 15:20:54
748173,2024-02-29,Guardians,114,1,Angels,108,4,2024-03-07 15:20:54
748168,2024-02-29,Giants,137,1,D-backs,109,2,2024-03-07 15:20:54
748170,2024-02-29,White Sox,145,6,Mariners,136,5,2024-03-07 15:20:54
748181,2024-02-29,Mets,121,1,Astros,117,2,2024-03-07 15:20:54
748177,2024-02-29,Marlins,146,0,Yankees,147,0,2024-03-07 15:20:54
748171,2024-02-29,Dodgers,119,4,Reds,113,5,2024-03-07 15:20:54
748165,2024-03-01,Astros,117,10,Nationals,120,8,2024-03-07 15:20:54
748162,2024-03-01,Mets,121,2,Cardinals,138,3,2024-03-07 15:20:54
748161,2024-03-01,Rays,139,8,Pirates,134,12,2024-03-07 15:20:54
748164,2024-03-01,Red Sox,111,3,Twins,142,5,2024-03-07 15:20:54
748160,2024-03-01,Phillies,143,2,Tigers,116,4,2024-03-07 15:20:54
748166,2024-03-01,Orioles,110,3,Braves,144,1,2024-03-07 15:20:54
748159,2024-03-01,Marlins,146,6,Phillies,143,6,2024-03-07 15:20:54
748154,2024-03-01,Athletics,133,4,Royals,118,5,2024-03-07 15:20:54
748151,2024-03-01,Rangers,140,5,Giants,137,11,2024-03-07 15:20:54
