game_id,date,player_name,player_id,headline,blurb,description,mp4_url,duration,inserted747825,2024-03-23T17:00:35.955Z,Kyle Gibson,502043,Kyle Gibson against the Astros,Kyle Gibson against the Astros,Hits against Gibson in their last matchup,https://darkroom-clips.mlb.com/16b2ee24-248d-410c-b7c4-2826e3efb7cb.mp4,00:00:07,2024-03-25 09:34:04
747826,2024-03-24T21:59:29.94Z,Jose Caballero,676609,Jose Caballero's basket catch,Jose Caballero's basket catch,Jose Caballero makes a basket catch in left-center field for the last out of the bottom of the 4th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/ea3ab594-3eab1754-fcebc966-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:19,2024-03-25 09:34:04
747828,2024-03-24T17:05:00Z,Joe Ryan,657746,Joe Ryan's outing against the Orioles,Joe Ryan's outing against the Orioles,The data behind Joe Ryan's outing,https://darkroom-clips.mlb.com/efaf2600-e6ab-4477-8813-d6b331ec9e94.mp4,00:00:23,2024-03-25 09:34:04
747828,2024-03-24T17:33:45.875Z,Gunnar Henderson,683002,Gunnar Henderson crushes a solo home run,Gunnar Henderson crushes a solo home run,Gunnar Henderson drives a solo home run to right field to open the scoring for the Orioles in the 1st inning against the Twins,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/6806cb2c-ff22f553-cd2b1e32-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:22,2024-03-25 09:34:04
747828,2024-03-24T18:20:47.536Z,Grayson Rodriguez,680570,Grayson Rodriguez's Spring Training start,Grayson Rodriguez's Spring Training start,"Grayson Rodriguez impresses in his final Spring Training start of 2024, striking out three batters over three innings of work",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/99fcd81b-2144a5c9-7e84c181-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:35,2024-03-25 09:34:04
747828,2024-03-24T18:32:30.869Z,Ryan O'Hearn,656811,Ryan O'Hearn hits an RBI double,Ryan O'Hearn hits an RBI double,"Ryan O'Hearn flares an RBI double to left field, giving the Orioles a 3-2 lead over the Twins in the top of the 6th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/0a67eaa9-e0dc73c0-6fd98fd3-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:25,2024-03-25 09:34:04
747828,2024-03-24T18:56:55.991Z,Adley Rutschman,668939,Adley Rutschman hits a three-run home run,Adley Rutschman hits a three-run home run,"Adley Rutschman hits a towering three-run homer to right-center field, extending the Orioles' lead to 6-2 over the Twins",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/f0dc563a-89b48917-75eb51e2-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:24,2024-03-25 09:34:04
747828,2024-03-24T19:03:47.656Z,Joe Ryan,657746,Joe Ryan strikes out five in Spring Training start,Joe Ryan strikes out five in Spring Training start,"Joe Ryan dazzles in a Spring Training start against the Orioles, registering five strikeouts over five innings pitched",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/27c2fecc-ece7a8dd-fd87499e-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:12,2024-03-25 09:34:04
747828,2024-03-24T19:07:45.462Z,NA,0,Twins' Derek Falvey talks about upcoming season,Twins' Derek Falvey talks about upcoming season,Twins president of baseball operations Derek Falvey joins the broadcast to discuss a variety of topics surrounding the 2024 season,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/66fa551f-df975a82-034e6628-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:13:36,2024-03-25 09:34:04
747828,2024-03-24T19:18:33.602Z,Jordan Westburg,676059,Jordan Westburg's two-run single,Jordan Westburg's two-run single,"Jordan Westburg lines a single to left field, driving in two runs to pad the Orioles' lead against the Twins",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/e3580d1f-97828366-f31821fc-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:21,2024-03-25 09:34:04
747823,2024-03-24T17:05:00Z,Aaron Nola,605400,Aaron Nola's outing against the Blue Jays,Aaron Nola's outing against the Blue Jays,The data behind Aaron Nola's outing,https://darkroom-clips.mlb.com/915e588c-d8f4-4492-a1dd-dd189ab52f0d.mp4,00:00:25,2024-03-25 09:34:04
747823,2024-03-24T17:25:46.058Z,Trea Turner,607208,Trea Turner's RBI single,Trea Turner lines an RBI single to center,"Trea Turner lines an RBI single to center field, scoring Bryson Stott and giving the Phillies a 1-0 lead in the bottom of the 1st",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/a0521c80-13928e7c-9b214b70-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:25,2024-03-25 09:34:04
747823,2024-03-24T17:31:11.818Z,Alec Bohm,664761,Alec Bohm's RBI double,Alec Bohm rips an RBI double to right,"Alec Bohm rips an RBI double to right field, scoring Trea Turner and extending the Phillies' lead to 2-0 in the bottom of the 1st",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/79580995-e213def2-1bdf8e31-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:29,2024-03-25 09:34:04
747823,2024-03-24T18:14:57.185Z,Alec Bohm,664761,Alec Bohm's leaping catch,Alec Bohm makes a leaping catch in the 4th,Alec Bohm makes a leaping catch in the top of the 4th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/02bfa2b6-465e9ff7-a55053a6-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:27,2024-03-25 09:34:04
747823,2024-03-24T18:20:02.578Z,Daulton Varsho,662139,Daulton Varsho's sliding grab,Daulton Varsho makes a sliding grab in the 4th,Daulton Varsho makes a sliding grab in the bottom of the 4th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/eeae854d-a754cac5-cf0f2104-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:15,2024-03-25 09:34:04
747823,2024-03-24T18:50:35.855Z,Aaron Nola,605400,Aaron Nola fans four,Aaron Nola fans four in 5 2/3 innings,Aaron Nola fans four batters through 5 2/3 scoreless innings in his start against the Blue Jays,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/60262066-7842bee6-e1a97919-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:21,2024-03-25 09:34:04
747823,2024-03-24T18:55:04.973Z,Chris Bassitt,605135,Chris Bassitt fans four,Chris Bassitt fans four in five innings,Chris Bassitt fans four batters through five innings of work in his start against the Phillies,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/dae2b4b9-e9c20bc2-7f291841-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:01,2024-03-25 09:34:04
747823,2024-03-24T19:14:13.942Z,Matt Strahm,621381,Matt Strahm on staying in Philly,Matt Strahm talks about staying in Philly,"Matt Strahm talks about his extension with the Phillies, how the bullpen is looking heading into the start of the season and more",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/798e167e-a93d0b63-f1fd657a-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:06:20,2024-03-25 09:34:04
747823,2024-03-24T20:42:35.105Z,Aaron Nola,605400,"Aaron Nola on becoming a dad, final spring start","Aaron Nola on becoming a dad, final spring start",Aaron Nola discusses becoming a father and his scoreless start in his final Spring Training outing,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/8488986c-e230c968-5c4f1c3c-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:51,2024-03-25 09:34:04
747824,2024-03-24T17:51:47.196Z,Sean Murphy,669221,Sean Murphy's two-run homer,Sean Murphy's two-run homer,"Sean Murphy crushes a two-run home run to left-center field, extending the Braves' lead to 3-0 in the top of the 2nd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/b00ca8c6-355cacea-f0b9331e-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:20,2024-03-25 09:34:04
747824,2024-03-24T18:09:57.925Z,Triston Casas,671213,Triston Casas' two-run single,Triston Casas' two-run single,"Triston Casas grounds a two-run single to center field, cutting the Red Sox's deficit to 3-2 in the bottom of the 3rd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/b0d63af4-b3f2e504-32254f70-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:12,2024-03-25 09:34:04
747824,2024-03-24T18:23:52.144Z,Sean Murphy,669221,Sean Murphy's second two-run homer,Sean Murphy's second two-run homer,"Sean Murphy crushes his second two-run home run of the game to left field, extending the Braves' lead to 5-2 in the top of the 4th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/6415501b-4123d45e-7cb76473-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:13,2024-03-25 09:34:04
747824,2024-03-24T19:19:31.516Z,Kutter Crawford,676710,Kutter Crawford K's five,Kutter Crawford K's five,Kutter Crawford strikes out five over his 5 2/3 innings of work in his start against Atlanta,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/d7fe2104-2c14b9e6-19fcd80b-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:35,2024-03-25 09:34:04
747824,2024-03-24T19:27:22.091Z,Max Fried,608331,Max Fried K's Triston Casas,Max Fried K's Triston Casas,Max Fried strikes out Triston Casas swinging and induces a double play in his three-inning start vs. the Red Sox,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/e4dc2285-9a99730f-72f3c30c-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:16,2024-03-25 09:34:04
747824,2024-03-24T19:52:37.217Z,Triston Casas,671213,Triston Casas' slick defense against Braves,Triston Casas' incredible defense against Braves,Triston Casas turns an unassisted double play in the top of the 1st inning and makes a sliding catch in the top of the 2nd,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/20500259-494bfb50-773bae58-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:20,2024-03-25 09:34:04
747821,2024-03-23T16:50:33.96Z,Martin Perez,527048,Martin Perez against the Yankees,Martin Perez against the Yankees,Hits against Perez in their last matchup,https://darkroom-clips.mlb.com/7a8ad785-3078-4916-920e-bdc13a53949f.mp4,00:00:07,2024-03-25 09:34:04
747821,2024-03-23T16:50:40.974Z,Marcus Stroman,573186,Marcus Stroman against the Pirates,Marcus Stroman against the Pirates,Hits against Stroman in their last two matchups,https://darkroom-clips.mlb.com/fb07fd60-162c-458f-b1ee-5a8b4f436816.mp4,00:00:09,2024-03-25 09:34:04
747821,2024-03-24T17:05:00Z,Marcus Stroman,573186,Marcus Stroman's outing against the Pirates,Marcus Stroman's outing against the Pirates,The data behind Marcus Stroman's outing,https://darkroom-clips.mlb.com/6b9f9f9b-7604-4810-acc8-ed71898a6499.mp4,00:00:26,2024-03-25 09:34:04
747821,2024-03-24T17:54:34.935Z,Jahmai Jones,663330,Jahmai Jones' RBI double,Jahmai Jones' RBI double,Jahmai Jones hits an RBI double to left field to give the Yankees a 1-0 lead in the top of the 4th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/3e4e48ac-084a64cc-3756dbd0-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:29,2024-03-25 09:34:04
747821,2024-03-24T18:02:56.377Z,Martin Perez,527048,Martin Perez's three strikeouts,Martin Perez's three strikeouts,Martin Perez strikes out three batters over three scoreless innings in his Spring Training start against the Yankees,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/b717082a-119991df-6b04158a-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:42,2024-03-25 09:34:04
747821,2024-03-24T18:30:10.745Z,Ke'Bryan Hayes,663647,Ke'Bryan Hayes' leaping grab,Ke'Bryan Hayes' leaping grab,"Ke'Bryan Hayes skies into the air to make a leaping catch, saving a run in the top of the 5th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/599129bf-57a5e8c8-7cbee399-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:15,2024-03-25 09:34:04
747821,2024-03-24T18:56:36.597Z,Marcus Stroman,573186,Marcus Stroman's five strikeouts,Marcus Stroman's five strikeouts,Marcus Stroman strikes out five over six scoreless innings in his Spring Training start against the Pirates,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/7c9f69c4-8370a5b8-433bd61e-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:54,2024-03-25 09:34:04
747821,2024-03-24T19:24:48.213Z,Jared Triolo,669707,Pirates' infield turns slick double play,Pirates infield turns slick double play,Ke'Bryan Hayes and Jared Triolo turn a slick 5-4-3 double play for the first two outs of the top of the 5th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/d865e482-5e4ddb0e-61c4040d-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:26,2024-03-25 09:34:04
747829,2024-03-24T17:32:32.555Z,Mark Vientos,668901,Mets option Mark Vientos to Triple-A Syracuse,Mets option Mark Vientos to Triple-A Syracuse,The SNY broadcast discusses the Mets optioning Mark Vientos to Triple-A Syracuse and Zack Short making the Opening Day roster,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/ed00ca28-67cda037-7219b9ff-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:45,2024-03-25 09:34:04
747829,2024-03-24T17:37:26.586Z,Tyrone Taylor,621438,Tyrone Taylor lines an RBI double,Tyrone Taylor lines an RBI double,Tyrone Taylor gives the Mets a 2-0 lead with an RBI double down the left-field line in the bottom of the 2nd inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/b152bd73-d1540041-7ed5cef6-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:24,2024-03-25 09:34:04
747829,2024-03-24T18:17:09.232Z,Tyrone Taylor,621438,Tyrone Taylor laces an RBI single,Tyrone Taylor laces an RBI single,Tyrone Taylor drives in his second run of the day with an RBI single up the middle to give the Mets a 3-0 lead in the bottom of the 4th,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/78e30603-8cdeccf2-59db4a06-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:23,2024-03-25 09:34:04
747829,2024-03-24T18:22:03.636Z,NA,0,"Carlos Mendoza on breaking camp, roster decisions","Carlos Mendoza on breaking camp, roster decisions","Carlos Mendoza discusses breaking camp, the signing of J.D. Martinez and optioning Mark Vientos to Triple-A Syracuse",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-03/24/cb66415a-5911f2e4-1780c08e-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:06:42,2024-03-25 09:34:04
