game_id,date,player_name,player_id,headline,blurb,description,mp4_url,duration
748212,2024-02-27T23:51:16.136Z,Sonny Gray,543243,Sonny Gray on his first start of Spring Training,Sonny Gray on his first start of Spring Training,"Sonny Gray discusses his first start of Spring Training, noting how he felt and where he looks to improve throughout spring",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/63c1ea57-24e3b2f9-45356b7c-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:37
748212,2024-02-27T23:55:00.721Z,Willson Contreras,575929,Willson Contreras' RBI double,Willson Contreras drills an RBI double,Willson Contreras drills an RBI double to right-center field in his outing against the Red Sox during Spring Training,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/60ea7131-bef100e6-d35d7817-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:18
748212,2024-02-28T00:33:18.547Z,Sonny Gray,543243,Sonny Gray strikes out two batters in spring debut,Sonny Gray strikes out two batters in spring debut,Sonny Gray strikes out two batters over two innings of work in his solid Spring Training debut with the Cardinals,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/584fab83-588f260e-d01069f4-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:25
748209,2024-02-27T22:18:53.594Z,Colt Keith,690993,Colt Keith drives a two-run double to right-center field,Colt Keith drives a two-run double to center field,"Colt Keith lines a two-run double to right-center field, scoring Spencer Torkelson and Mark Canha, to tie the game at 2 in the bottom of the 1st",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/4bd0146a-a270b09a-0ca24575-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:11
748209,2024-02-27T22:29:02.623Z,Spencer Torkelson,679529,Spencer Torkelson lines a two-run double to left-center field,Spencer Torkelson lines a two-run double to center,"Spencer Torkelson puts the Tigers ahead by lining a two-run double to left-center field, giving them a 4-2 lead in the bottom of the 2nd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/68822f9d-99c07396-15036ea9-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:17
748209,2024-02-27T22:30:00.306Z,Alan Roden,702176,Alan Roden crushes a two-run homer,Alan Roden crushes a two-run homer,"Alan Roden launches a two-run home run to right field, scoring Daniel Vogelbach, to tie the game at 2 in the top of the 4th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/f0e064ab-8735d0e8-b81adac6-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:20
748208,2024-02-27T23:16:05.089Z,Byron Buxton,621439,"Byron Buxton on having fun, playing smart and more","Byron Buxton on having fun, playing smart and more","Byron Buxton discusses having fun being back, making smart plays, improving positioning and more after the 3-3 tie against the Phillies",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/9dde080b-bdf74818-70a9162f-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:28
748208,2024-02-27T23:44:17.676Z,Trea Turner,607208,Trea Turner hits an RBI double in the 3rd inning,Trea Turner hits an RBI double in the 3rd inning,"Trea Turner laces a double to right field, plating Rodolfo Castro to give the Phillies a 1-0 lead in the top of the 3rd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/da78106b-9dcec28d-94313387-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:17
748207,2024-02-27T20:25:05.237Z,Bryan Reynolds,668804,Check out Bryan Reynolds' two-run homer vs. Braves,Check out Bryan Reynolds' two-run homer vs. Braves,"Check out this unique view of Bryan Reynolds' two-run homer against the Braves, his first home run of Spring Training #CreatorCuts",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/74aabd7b-d533640b-424c86dc-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:36
748207,2024-02-27T22:58:58.637Z,Chris Sale,519242,Chris Sale fans four in spring debut with Braves,Chris Sale fans four in spring debut with Braves,Chris Sale strikes out four batters over two perfect innings in his Braves Spring Training debut against the Pirates,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/d82488ba-7d0d4ac8-ab9d609c-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:40
748207,2024-02-27T23:16:12.963Z,Ke'Bryan Hayes,663647,Ke'Bryan Hayes launches a grand slam to left field,Ke'Bryan Hayes launches a grand slam to left field,"Ke'Bryan Hayes belts a grand slam to left-center field, scoring Jack Suwinski, Liover Peguero and Oneil Cruz to tie the game at 4-4",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/38b7811f-b3f035df-fa6062a5-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:22
748207,2024-02-27T23:28:17.258Z,Sean Murphy,669221,"Sean Murphy records two hits, two RBIs vs. Pirates","Sean Murphy records two hits, two RBIs vs. Pirates",Sean Murphy has himself a nice game as he collects two singles and drives in two runs for the Braves against the Pirates,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/b6bdeea4-c6ab3f62-f5f3b487-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:24
748207,2024-02-28T00:09:24.599Z,Bryan Reynolds,668804,"Derek Shelton, Bryan Reynolds, Ke'Bryan Hayes on win","Derek Shelton, Bryan Reynolds, Ke'Bryan Hayes on win",Derek Shelton on the encouraging win against the Braves while Bryan Reynolds and Ke'Bryan Hayes talk about their relationship as teammates,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/76332ea6-d00fb606-10cb21fb-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:01
748205,2024-02-27T18:48:50.719Z,Jonny Deluca,676356,Jonny DeLuca lines an RBI single to left field,Jonny  DeLuca lines an RBI single to left field,"Jonny DeLuca slaps an RBI single to left field, scoring Josh Lowe and giving the Rays a 1-0 lead in the bottom of the 2nd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/db6c066a-a7aee917-9d9ab209-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:30
748205,2024-02-27T18:55:59.932Z,Zack Littell,641793,Zack Littell strikes out three Yankees in two innings,Zack Littell strikes out three Yankees in two innings,"Zack Littell makes his first Spring Training start for the Rays, whiffing three Yankees across two solid innings of work",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/0d3d61c8-d7a412cc-a943a69d-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:45
748205,2024-02-27T19:02:10.918Z,Clarke Schmidt,657376,Clarke Schmidt strikes out two Rays in two innings,Clarke Schmidt strikes out two Rays in two innings,"Clarke Schmidt takes the mound for his first Spring Training start, striking out two Rays across two innings of work",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/03128752-10957141-1028bfee-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:30
748205,2024-02-27T19:10:42.87Z,Zack Littell,641793,"Zack Littell on relationship with Kyle Snyder, more","Zack Littell on relationship with Kyle Snyder, more","Zack Littell discusses what Rays pitching coach Kyle Snyder means to him, stretching out innings last season, and more",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/75982894-72df3fa6-9442cd1f-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:05:28
748205,2024-02-27T19:28:36.636Z,Jose Rojas,670351,Jose Rojas drills a solo home run to center field,Jose Rojas drills a solo home run to center field,"Jose Rojas swats a solo home run to center field, tying the game at 1 in the top of the 5th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/efb997c8-c47c6632-c8118587-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:27
748205,2024-02-27T19:36:24.683Z,Rene Pinto,650907,Rene Pinto hooks an RBI single to left field,Rene Pinto hooks an RBI single to left field,"Rene Pinto flares an RBI single into left field, scoring Jose Caballero and giving the Rays a 2-1 lead in the bottom of the 5th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/994d1c72-e73c2640-afec248b-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:29
748205,2024-02-27T19:45:21.801Z,Anthony Volpe,683011,Anthony Volpe lines an RBI triple into right field,Anthony Volpe lines an RBI triple into right field,"Anthony Volpe slaps an RBI triple into right field, scoring Brandon Lockridge and tying the game at 2 in the top of the 6th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/b5f1d6ba-e2b9ad6b-a224f66d-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:29
748205,2024-02-27T19:55:31.522Z,Logan Driscoll,686482,Logan Driscoll makes a stellar catch near the netting,Logan Driscoll makes a stellar catch near the netting,"Logan Driscoll makes an amazing catch behind the plate, tumbling into the netting and retiring Jose Rojas in the top of the 6th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/367c19dd-1728aa8d-6a2cdbcd-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:23
748205,2024-02-27T20:05:13.474Z,Nick Meyer,680722,Nick Meyer clubs a solo home run to left field,Nick Meyer clubs a solo home run to left field,"Nick Meyer swats a solo home run to left field, giving the Rays a 3-2 lead in the bottom of the 6th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/32f674dc-6fe37d50-4368076c-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:27
748205,2024-02-27T21:03:37.982Z,Osleivis Basabe,678545,Osleivis Basabe removed from game due to injury,Osleivis Basabe removed from game due to injury,Osleivis Basabe is removed from the Rays' Spring Training game due to an injury in the bottom of the 8th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/6bbd3546-2068805b-d9e94fa4-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:30
748206,2024-02-27T18:37:21.738Z,Rylan Bannon,676625,"Rylan Bannon, Jose Iglesias turn two",Ryan Bannon and Jose Iglesias turn a nice double play,"Rylan Bannon and Jose Iglesias turn a slick double play, retiring Nick Gordon and Trey Mancini to end the top of the 2nd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/bd853af9-51f467aa-7ea5f78d-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:19
748206,2024-02-27T18:40:13.119Z,Tristan Gray,656484,Tristan Gray hits a solo home run,Tristan Gray crushes a solo homer to center field,"Tristan Gray launches his second home run of Spring Training to center field, giving the Marlins a 1-0 lead in the 3rd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/f6945a2d-2d5ec7ef-4f00bc3c-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:23
748206,2024-02-27T18:50:01.182Z,Tyrone Taylor,621438,Tyrone Taylor hits an RBI single,Tyrone Taylor drives an RBi single to center field,"Tyrone Taylor slaps an RBI single to center field, scoring Rylan Bannon from second base and tying the game, 1-1, in the 3rd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/b802b302-d5e0ef6a-b4fc5418-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:18
748206,2024-02-27T19:19:18.279Z,A.J. Puk,640462,A.J. Puk strikes out three,A.J. Puk K's three in Spring Training debut,A.J. Puk notches three strikeouts over two innings in his first spring start of 2024,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/5c1845a1-afb65f6c-557ddce4-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:28
748206,2024-02-27T19:21:27.445Z,Alex Ramirez,691267,Alex Ramirez hits an RBI double,Alex Ramirez lines an RBI double to right field,"Alex Ramirez drives an RBI double to right field, scoring Rylan Bannon from first base to give the Mets a 2-1 lead in the 5th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/2496279f-9bae0683-ea385510-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:25
748206,2024-02-27T19:32:37.712Z,Ji-Man Choi,596847,Ji Man Choi hits first Spring Training homer,Ji Man Choi hits his first homer of Spring Training,"Ji Man Choi crushes his first home run of Spring Training, a solo homer to right field, extending the Mets' lead to 3-1 in the 6th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/93a61a82-a75a47fb-37d32394-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:27
748206,2024-02-27T19:56:04.868Z,Drew Gilbert,687551,Drew Gilbert crushes a two-run single,Drew Gilbert slams a two-run single to left field,"Drew Gilbert slices a two-run single to left, scoring Jeremiah Jackson and Yolmer Sanchez to extend the Mets' lead to 5-1 in the 7th",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/6779b04d-12a271b5-0a93248d-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:25
748206,2024-02-27T19:58:04.744Z,Austin Allen,664119,Austin Allen hits an RBI single,Austin Allen knocks an RBI single to right field,"Austin Allen lines an RBI single to right field, scoring Luisangel Acuna from second base and extending the Mets' lead to 6-1",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/2dd37097-41167216-898d88ca-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:26
748206,2024-02-27T19:59:51.905Z,Adrian Houser,605288,Adrian Houser on first Spring Training start,Adrian Houser talks first start of Spring Training,"Adrian Houser discusses his first Spring Training start with the Mets, his pitch mix and his expectations for New York",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/fce4c247-8914c819-5f278972-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:06:01
748206,2024-02-27T23:43:13.267Z,NA,0,Daniel Murphy makes his broadcasting debut,Daniel Murphy makes his broadcasting debut,"Daniel Murphy joins the SNY booth for the Mets' February 27th Spring Training game against the Marlins, making his broadcasting debut",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/35026f9a-df0797d4-39c8581b-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:43
748203,2024-02-27T20:50:31.126Z,Frankie Montas,593423,Frankie Montas strikes out a pair in spring debut,Frankie Montas strikes out a pair in spring debut,Frankie Montas strikes out two batters over two innings in his highly anticipated Spring Training debut with the Reds,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/24/e67a233b-7b35a869-df3d0121-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:32
748203,2024-02-27T21:12:53.225Z,Will Benson,666181,Will Benson lays out to make a diving catch in right ,Will Benson lays out to make a diving catch in right ,"Will Benson lays out to make a diving catch in right field, recording the second out in the bottom of the 3rd inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/be9ee2e5-132ed130-1b149567-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:23
748203,2024-02-27T21:31:53.674Z,Jose Cuas,621016,Jose Cuas strikes out two in one inning of work,Jose Cuas strikes out two in one inning of work,Jose Cuas strikes out two batters in the top of the 6th inning during his Spring Training outing against the Reds,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/bb9cba7b-b4382284-3744385a-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:21
748203,2024-02-27T21:48:16.798Z,Will Benson,666181,"Will Benson collects two hits, including RBI double","Will Benson collects two hits, including RBI double","Will Benson collects two hits, including an RBI double in top of the 7th inning against the Cubs",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/4c7128f1-0bb7f52e-fb559b5d-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:45
748203,2024-02-27T22:18:26.232Z,Pete Crow-Armstrong,691718,Cubs No. 1 prospect Pete Crow-Armstrong rips a double,Cubs No. 1 prospect Pete Crow-Armstrong rips a double,Cubs No. 1 prospect Pete Crow-Armstrong rips a double to right field in the bottom of the 7th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/b846b87e-2e3feb3c-12ba37e2-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:27
748203,2024-02-27T22:35:18.757Z,Edwin Arroyo,695490,Reds No. 3 prospect Edwin Arroyo doubles to right ,Reds No. 3 prospect Edwin Arroyo doubles to right,Reds No. 3 prospect Edwin Arroyo lines a double to right field in the top of the 8th inning against the Cubs,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/dc512707-4cd502f3-26f9d393-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:21
748203,2024-02-27T23:07:13.257Z,James Triantos,701649,Cubs No. 9 prospect James Triantos drives in two,Cubs No. 9 prospect James Triantos drives in two,Cubs No. 9 prospect James Triantos drives in two with a single into left-center field in the bottom of the 8th inning against the Reds,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/613bb8fa-364f5aac-8a57e6c5-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:24
748203,2024-02-27T23:15:34.712Z,Kyle Hendricks,543294,"Kyle Hendricks on first Spring Training game, more","Kyle Hendricks on first Spring Training game, more","Kyle Hendricks discusses playing in his first Spring Training game, his mindset while on the mound, the NL Central division and more",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/eca41222-85a4f462-4dfaf162-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:11
748203,2024-02-27T23:18:39.914Z,Matt Shaw,807713,Cubs No. 7 prospect Matt Shaw plates two with triple,Cubs No. 7 prospect Matt Shaw plates two with triple,Cubs No. 7 prospect Matt Shaw plates two with a triple that hits off the wall in the bottom of the 8th inning vs. the Reds,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/4c4073f2-b2221ba3-f3b990f6-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:26
748203,2024-02-27T23:24:16.48Z,Pete Crow-Armstrong,691718,Pete Crow-Armstrong drops an RBI double in the 9th,Pete Crow-Armstrong drops an RBI double in the 9th,Pete Crow-Armstrong drops an RBI double into shallow left-center field in the bottom of the 9th inning against the Reds,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/713c053d-18dc31ba-ad152378-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:28
748204,2024-02-27T20:48:07.467Z,Michael Toglia,669911,Michael Toglia belts an RBI single into left field,Michael Toglia belts an RBI single into left field,Michael Toglia gives the Rockies an early 1-0 lead as he crushes an RBI single into left field and drives in Sean Bouchard in the 1st inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/c93cd474-18206c4d-743007b1-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:14
748204,2024-02-27T21:50:59.352Z,NA,0,Nate Eaton's first home run of Spring Training,Nate Eaton's first home run of Spring Training,"Nate Eaton crushes a solo home run to left field, his first of Spring Training, cutting the Royals' deficit to 2-1 in the 5th inning",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/5a75d804-95be9360-80bb7112-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:26
748204,2024-02-27T22:42:30.669Z,Ryan Feltner,663372,"Ryan Feltner discusses his first spring start, more","Ryan Feltner discusses his first spring start, more","Ryan Feltner talks about his first Spring Training outing, working with Jacob Stallings for the first time and executing his game plan",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/069038ba-27f66b5d-b8e8a832-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:46
748204,2024-02-27T23:09:12.503Z,Michael Wacha,608379,"Wacha, Schreiber on respective outings vs. Padres","Wacha, Schreiber on respective outings vs. Padres",Michael Wacha and John Schreiber discuss their respective outings during the Royals' Spring Training game against the Padres,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/94588079-73661cc8-2edffd74-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:01:44
748201,2024-02-27T21:02:35.012Z,Steven Kwan,680757,Steven Kwan talks mindset heading into 2024 season,Steven Kwan talks mindset heading into 2024 season,"Steven Kwan discusses how he plans on approaching the 2024 season, making solid contact versus just making contact",https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/dcd72d10-bf3cc792-2222afa5-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:27
748201,2024-02-27T21:19:05.281Z,Jose Ramirez,608070,Jose Ramirez hits a RBI single,Jose Ramirez hits a RBI single,Jose Ramirez puts the Guardians on the board in the bottom of the 4th inning with a RBI single to right field,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/384a06ee-e5063f45-76192955-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:22
748201,2024-02-27T21:51:42.96Z,Yohel Pozo,650968,Yohel Pozo crushes a two-run home run,Yohel Pozo crushes a two-run home run,Yohel Pozo gives the A's a 3-1 lead in the top of the 5th with a two-run home run,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/586a2d08-81330bd8-7827844c-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:29
748201,2024-02-27T21:57:47.991Z,Nick Allen,669397,Nick Allen smacks a three-run triple,Nick Allen smacks a three-run triple,Nick Allen extends the A's lead to 7-1 with a bases-clearing triple in the top of the 5th inning,https://mlb-cuts-diamond.mlb.com/FORGE/2024/2024-02/27/90f56a24-41b875ea-e7b6e0c4-csvm-diamondx64-asset_1280x720_59_4000K.mp4,00:00:28
